H,Lat (um),CD (um^2),CV (um^2),RD (um^2),RV (um^2)
L,1100,87971.0,0.0,42989.0,0.0
L,1000,125401.0,0.0,38155.0,0.0
L,900,78554.0,0.0,110536.0,0.0
L,800,124053.0,0.0,217881.0,0.0
L,700,182839.0,0.0,216422.0,0.0
L,600,181805.0,0.0,195042.0,0.0
L,500,130432.0,0.0,181222.0,0.0
L,400,83703.0,0.0,116297.0,0.0
L,300,n.d.,n.d.,n.d.,n.d.
L,200,n.d.,n.d.,n.d.,n.d.
L,100,n.d.,n.d.,n.d.,n.d.
R,100,n.d.,n.d.,n.d.,n.d.
R,200,n.d.,n.d.,n.d.,n.d.
R,300,n.d.,n.d.,n.d.,n.d.
R,400,620000.0,0.0,0.0,0.0
R,500,706512.0,21856.0,0.0,0.0
R,600,707853.0,0.0,0.0,0.0
R,700,683351.0,50550.0,0.0,0.0
R,800,590080.0,76359.0,0.0,0.0
R,900,306780.0,40214.0,0.0,0.0
R,1000,242502.0,78987.0,0.0,0.0
R,1100,200386.0,49544.0,0.0,0.0
