H,Lat (um),CD (um^2),CV (um^2),RD (um^2),RV (um^2)
L,1100,0.0,0.0,0.0,0.0
L,1000,0.0,0.0,0.0,0.0
L,900,81954.0,58716.0,0.0,0.0
L,800,47220.0,71395.0,0.0,0.0
L,700,n.d.,n.d.,n.d.,n.d.
L,600,n.d.,n.d.,n.d.,n.d.
L,500,n.d.,n.d.,n.d.,n.d.
L,400,n.d.,n.d.,n.d.,n.d.
L,300,n.d.,n.d.,n.d.,n.d.
L,200,n.d.,n.d.,n.d.,n.d.
L,100,n.d.,n.d.,n.d.,n.d.
R,100,n.d.,n.d.,n.d.,n.d.
R,200,n.d.,n.d.,n.d.,n.d.
R,300,n.d.,n.d.,n.d.,n.d.
R,400,n.d.,n.d.,n.d.,n.d.
R,500,267102.0,73394.0,9504.0,0.0
R,600,447567.0,122982.0,15926.0,0.0
R,700,294717.0,382781.0,0.0,0.0
R,800,197719.0,216374.0,11155.0,0.0
R,900,170729.0,169409.0,0.0,0.0
R,1000,138962.0,118516.0,0.0,0.0
R,1100,133500.0,187238.0,0.0,0.0
