H,Lat (um),CD (um^2),CV (um^2),RD (um^2),RV (um^2)
L,1100,20661.0,0.0,88740.0,0.0
L,1000,55353.0,0.0,133536.0,0.0
L,900,27860.0,0.0,331620.0,0.0
L,800,157721.0,0.0,384738.0,0.0
L,700,150089.0,0.0,350661.0,0.0
L,600,28755.0,0.0,99122.0,0.0
L,500,43413.0,0.0,77596.0,0.0
L,400,79797.0,0.0,156100.0,0.0
L,300,77802.0,0.0,152198.0,0.0
L,200,194261.0,97762.0,57978.0,0.0
L,100,316952.0,159506.0,94595.0,0.0
R,100,n.d.,n.d.,n.d.,n.d.
R,200,n.d.,n.d.,n.d.,n.d.
R,300,n.d.,n.d.,n.d.,n.d.
R,400,225644.0,87681.0,0.0,0.0
R,500,226076.0,0.0,0.0,0.0
R,600,62876.0,0.0,0.0,0.0
R,700,0.0,0.0,0.0,0.0
R,800,0.0,0.0,0.0,0.0
R,900,0.0,0.0,0.0,0.0
R,1000,0.0,0.0,0.0,0.0
R,1100,0.0,0.0,0.0,0.0
