H,Lat (um),CD (um^2),CV (um^2),RD (um^2),RV (um^2)
L,1100,165133.0,257660.0,310632.0,85427.0
L,1000,154454.0,320951.0,305366.0,89056.0
L,900,168166.0,198758.0,348126.0,76270.0
L,800,221732.0,251355.0,269916.0,27812.0
L,700,167040.0,118855.0,113452.0,0.0
L,600,83657.0,59525.0,56819.0,0.0
L,500,n.d.,n.d.,n.d.,n.d.
L,400,n.d.,n.d.,n.d.,n.d.
L,300,n.d.,n.d.,n.d.,n.d.
L,200,n.d.,n.d.,n.d.,n.d.
L,100,n.d.,n.d.,n.d.,n.d.
R,100,n.d.,n.d.,n.d.,n.d.
R,200,n.d.,n.d.,n.d.,n.d.
R,300,n.d.,n.d.,n.d.,n.d.
R,400,48247.0,66806.0,174257.0,58004.0
R,500,132917.0,117721.0,211071.0,78555.0
R,600,119485.0,181178.0,278427.0,47380.0
R,700,216307.0,148680.0,279460.0,33390.0
R,800,192902.0,64772.0,238367.0,40002.0
R,900,245302.0,176252.0,272472.0,103685.0
R,1000,233992.0,240344.0,310103.0,142479.0
R,1100,201255.0,219173.0,300835.0,162359.0
