H,Lat (um),CD (um^2),CV (um^2),RD (um^2),RV (um^2)
L,1100,59844.0,112961.0,326422.0,46710.0
L,1000,115593.0,180924.0,245543.0,0.0
L,900,17900.0,92588.0,134164.0,0.0
L,800,29078.0,48171.0,109945.0,0.0
L,700,31105.0,5227.0,96080.0,0.0
L,600,34277.0,21068.0,106095.0,0.0
L,500,n.d.,n.d.,n.d.,n.d.
L,400,n.d.,n.d.,n.d.,n.d.
L,300,n.d.,n.d.,n.d.,n.d.
L,200,n.d.,n.d.,n.d.,n.d.
L,100,n.d.,n.d.,n.d.,n.d.
R,100,n.d.,n.d.,n.d.,n.d.
R,200,n.d.,n.d.,n.d.,n.d.
R,300,n.d.,n.d.,n.d.,n.d.
R,400,n.d.,n.d.,n.d.,n.d.
R,500,n.d.,n.d.,n.d.,n.d.
R,600,n.d.,n.d.,n.d.,n.d.
R,700,n.d.,n.d.,n.d.,n.d.
R,800,0.0,0.0,50507.0,50508.0
R,900,0.0,0.0,180454.0,180455.0
R,1000,0.0,0.0,317934.0,317935.0
R,1100,98677.0,274410.0,378283.0,234415.0
