H,Lat (um),CD (um^2),CV (um^2),RD (um^2),RV (um^2)
L,1100,271009.0,146219.0,608782.0,0.0
L,1000,192896.0,77048.0,595620.0,0.0
L,900,163157.0,15142.0,561414.0,53549.0
L,800,284633.0,13832.0,257301.0,0.0
L,700,n.d.,n.d.,n.d.,n.d.
L,600,n.d.,n.d.,n.d.,n.d.
L,500,n.d.,n.d.,n.d.,n.d.
L,400,n.d.,n.d.,n.d.,n.d.
L,300,n.d.,n.d.,n.d.,n.d.
L,200,n.d.,n.d.,n.d.,n.d.
L,100,n.d.,n.d.,n.d.,n.d.
R,100,n.d.,n.d.,n.d.,n.d.
R,200,n.d.,n.d.,n.d.,n.d.
R,300,n.d.,n.d.,n.d.,n.d.
R,400,n.d.,n.d.,n.d.,n.d.
R,500,n.d.,n.d.,n.d.,n.d.
R,600,n.d.,n.d.,n.d.,n.d.
R,700,44861.0,0.0,460062.0,0.0
R,800,40486.0,0.0,557182.0,0.0
R,900,33004.0,0.0,609235.0,0.0
R,1000,19381.0,0.0,701842.0,0.0
R,1100,0.0,0.0,631871.0,0.0
