H,Lat (um),CD (um^2),CV (um^2),RD (um^2),RV (um^2)
L,1100,0.0,0.0,745917.0,0.0
L,1000,389453.0,77398.0,526085.0,107353.0
L,900,188257.0,282386.0,268267.0,202377.0
L,800,450472.0,75079.0,225236.0,0.0
L,700,318622.0,0.0,56227.0,217212.0
L,600,n.d.,n.d.,n.d.,n.d.
L,500,n.d.,n.d.,n.d.,n.d.
L,400,n.d.,n.d.,n.d.,n.d.
L,300,n.d.,n.d.,n.d.,n.d.
L,200,n.d.,n.d.,n.d.,n.d.
L,100,n.d.,n.d.,n.d.,n.d.
R,100,n.d.,n.d.,n.d.,n.d.
R,200,n.d.,n.d.,n.d.,n.d.
R,300,n.d.,n.d.,n.d.,n.d.
R,400,n.d.,n.d.,n.d.,n.d.
R,500,n.d.,n.d.,n.d.,n.d.
R,600,n.d.,n.d.,n.d.,n.d.
R,700,n.d.,n.d.,n.d.,n.d.
R,800,n.d.,n.d.,n.d.,n.d.
R,900,0.0,0.0,438700.0,516151.0
R,1000,0.0,0.0,413190.0,450229.0
R,1100,0.0,0.0,145721.0,97147.0
