H,Lat (um),CD (um^2),CV (um^2),RD (um^2),RV (um^2)
L,1100,0.0,0.0,0.0,0.0
L,1000,0.0,0.0,0.0,0.0
L,900,0.0,0.0,0.0,0.0
L,800,94278.0,0.0,0.0,0.0
L,700,88759.0,0.0,0.0,0.0
L,600,95270.0,0.0,55929.0,0.0
L,500,70959.0,0.0,89969.0,0.0
L,400,190173.0,8145.0,120302.0,0.0
L,300,191938.0,23905.0,110708.0,0.0
L,200,101303.0,0.0,152388.0,0.0
L,100,62843.0,0.0,94533.0,0.0
R,100,n.d.,n.d.,n.d.,n.d.
R,200,n.d.,n.d.,n.d.,n.d.
R,300,n.d.,n.d.,n.d.,n.d.
R,400,0.0,0.0,0.0,0.0
R,500,88644.0,0.0,0.0,0.0
R,600,144204.0,0.0,0.0,0.0
R,700,103618.0,0.0,0.0,0.0
R,800,54536.0,0.0,0.0,0.0
R,900,127537.0,0.0,0.0,0.0
R,1000,240296.0,0.0,0.0,0.0
R,1100,0.0,0.0,0.0,0.0
