H,Lat (um),CD (um^2),CV (um^2),RD (um^2),RV (um^2)
L,1100,0.0,596713.0,0.0,0.0
L,1000,0.0,657007.0,0.0,0.0
L,900,0.0,484332.0,0.0,0.0
L,800,113307.0,500697.0,0.0,0.0
L,700,116802.0,485009.0,0.0,0.0
L,600,120982.0,527802.0,0.0,0.0
L,500,n.d.,n.d.,n.d.,n.d.
L,400,n.d.,n.d.,n.d.,n.d.
L,300,n.d.,n.d.,n.d.,n.d.
L,200,n.d.,n.d.,n.d.,n.d.
L,100,n.d.,n.d.,n.d.,n.d.
R,100,n.d.,n.d.,n.d.,n.d.
R,200,n.d.,n.d.,n.d.,n.d.
R,300,n.d.,n.d.,n.d.,n.d.
R,400,n.d.,n.d.,n.d.,n.d.
R,500,44834.0,81108.0,0.0,74058.0
R,600,67251.0,121662.0,0.0,111087.0
R,700,89668.0,162216.0,0.0,148116.0
R,800,123725.0,223831.0,0.0,204372.0
R,900,102069.0,202097.0,12388.0,248883.0
R,1000,32554.0,220021.0,163055.0,260964.0
R,1100,104852.0,254790.0,0.0,269280.0
