Subject,L-CD (mm^3),L-CV (mm^3),L-RD (mm^3),L-RV (mm^3),R-CD (mm^3),R-CV (mm^3),R-RD (mm^3),R-RV (mm^3),TotalVolume (mm^3),HP,L,NCL,Cb,CM,HVC
BlaGre1349M,0.09947579999999999,0.0,0.11185439999999999,0.0,0.4057464,0.031751,0.0,0.0,0.6488276,1,0,1,0,0,0
XXXBlu0031M,0.1346804,0.0434863,0.18217319999999998,0.0526942,0.0,0.0,0.09976109999999999,0.1063527,0.6191479,0,1,1,0,1,0
HpiGre0651M,0.0960182,0.1207104,0.1404311,0.0278565,0.1390407,0.12149259999999999,0.2064992,0.0665854,0.9186341,0,0,1,0,1,1
GreBla3404M,0.37792509999999996,0.1327237,0.0084464,0.0,0.015056,0.058581799999999996,0.0,0.0,0.592733,1,0,0,0,0,0
GreBlu5039F,0.11526639999999999,0.025726799999999998,0.19268839999999998,0.0,0.051459599999999994,0.0087681,0.0,0.0,0.39390929999999996,2,1,0,1,1,0
WhiBlu5805F,0.0911695,0.0252241,0.20231169999999998,0.0053549,0.0137732,0.0,0.2960192,0.0,0.6338526,0,2,3,0,1,0
RedHpi0710F,0.0287797,0.0460939,0.1018249,0.004671,0.0098677,0.027441,0.09271779999999999,0.07833129999999999,0.3897273,1,0,2,0,1,1
XXXOra0037F,0.0351091,0.325156,0.0,0.0,0.0564953,0.1265725,0.0175443,0.131676,0.6925532,0,0,2,0,0,0
XXXHpi0038M,0.0895523,0.003205,0.0623829,0.0,0.07588349999999999,0.0,0.0,0.0,0.2310237,2,0,0,1,0,0
GraWhi4040F,0.012917399999999999,0.0130111,0.0,0.0,0.1650296,0.1270694,0.0036585,0.0,0.32168599999999997,0,0,0,0,0,0
