,Subject,Counts,Rewarded,Treatment
0,GreBlu5039F,"(493, 1111)",False,NCM
1,GreBlu5039F,"(36, 355)",True,NCM
2,GreBla3404M,"(792, 1310)",False,NCM
3,GreBla3404M,"(94, 411)",True,NCM
4,GraWhi4040F,"(989, 1425)",False,NCM
5,GraWhi4040F,"(130, 371)",True,NCM
6,BlaGre1349M,"(2012, 2302)",False,NCM
7,BlaGre1349M,"(55, 524)",True,NCM
8,XXXHpi0038M,"(1516, 1736)",False,NCM
9,XXXHpi0038M,"(154, 390)",True,NCM
10,XXXOra0037F,"(715, 1408)",False,NCM
11,XXXOra0037F,"(218, 445)",True,NCM
12,XXXBlu0031M,"(311, 1018)",False,NCM
13,XXXBlu0031M,"(48, 428)",True,NCM
14,HpiGre0651M,"(187, 901)",False,NCM
15,HpiGre0651M,"(79, 523)",True,NCM
16,RedHpi0710F,"(249, 963)",False,NCM
17,RedHpi0710F,"(67, 450)",True,NCM
18,WhiBlu5805F,"(220, 934)",False,NCM
19,WhiBlu5805F,"(68, 464)",True,NCM
20,BluWhi0398F,"(1121, 1622)",False,HVC
21,BluWhi0398F,"(118, 417)",True,HVC
22,BluWhi3230M,"(604, 1003)",False,HVC
23,BluWhi3230M,"(9, 267)",True,HVC
24,GraYel7337F,"(521, 1220)",False,HVC
25,GraYel7337F,"(42, 477)",True,HVC
26,GreWhi2703M,"(1813, 2179)",False,HVC
27,GreWhi2703M,"(67, 538)",True,HVC
28,HpiGre8613M,"(401, 998)",False,HVC
29,HpiGre8613M,"(29, 272)",True,HVC
30,BluGre4315M,"(1611, 1919)",False,HVC
31,BluGre4315M,"(24, 479)",True,HVC
32,BluRed8773M,"(1202, 1451)",False,HVC
33,BluRed8773M,"(60, 305)",True,HVC
34,BluYel2571F,"(1109, 1523)",False,CTRL
35,BluYel2571F,"(50, 373)",True,CTRL
36,YelPur7906M,"(529, 1058)",False,CTRL
37,YelPur7906M,"(67, 261)",True,CTRL
38,WhiWhi2526M,"(545, 851)",False,CTRL
39,WhiWhi2526M,"(59, 216)",True,CTRL
40,RedGra7912M,"(2527, 2867)",False,CTRL
41,RedGra7912M,"(126, 637)",True,CTRL
