,Subject,Counts,Rewarded,Treatment,CallType
0,GreBlu5039F,"(118, 184)",False,NCM,DC
1,GreBlu5039F,"(41, 107)",True,NCM,DC
2,GreBla3404M,"(67, 133)",False,NCM,DC
3,GreBla3404M,"(56, 111)",True,NCM,DC
4,GraWhi4040F,"(110, 176)",False,NCM,DC
5,GraWhi4040F,"(43, 109)",True,NCM,DC
6,BlaGre1349M,"(159, 225)",False,NCM,DC
7,BlaGre1349M,"(24, 90)",True,NCM,DC
8,XXXHpi0038M,"(158, 224)",False,NCM,DC
9,XXXHpi0038M,"(16, 80)",True,NCM,DC
10,XXXOra0037F,"(73, 139)",False,NCM,DC
11,XXXOra0037F,"(40, 106)",True,NCM,DC
12,XXXBlu0031M,"(74, 140)",False,NCM,DC
13,XXXBlu0031M,"(49, 115)",True,NCM,DC
14,HpiGre0651M,"(26, 81)",False,NCM,DC
15,HpiGre0651M,"(6, 61)",True,NCM,DC
16,RedHpi0710F,"(37, 103)",False,NCM,DC
17,RedHpi0710F,"(20, 86)",True,NCM,DC
18,WhiBlu5805F,"(45, 100)",False,NCM,DC
19,WhiBlu5805F,"(14, 69)",True,NCM,DC
20,BluWhi0398F,"(125, 191)",False,HVC,DC
21,BluWhi0398F,"(60, 126)",True,HVC,DC
22,BluWhi3230M,"(146, 186)",False,HVC,DC
23,BluWhi3230M,"(7, 46)",True,HVC,DC
24,GraYel7337F,"(87, 153)",False,HVC,DC
25,GraYel7337F,"(6, 72)",True,HVC,DC
26,GreWhi2703M,"(153, 219)",False,HVC,DC
27,GreWhi2703M,"(12, 78)",True,HVC,DC
28,HpiGre8613M,"(75, 141)",False,HVC,DC
29,HpiGre8613M,"(13, 79)",True,HVC,DC
30,BluGre4315M,"(120, 186)",False,HVC,DC
31,BluGre4315M,"(1, 67)",True,HVC,DC
32,BluRed8773M,"(230, 296)",False,HVC,DC
33,BluRed8773M,"(20, 86)",True,HVC,DC
34,BluYel2571F,"(193, 259)",False,CTRL,DC
35,BluYel2571F,"(50, 116)",True,CTRL,DC
36,YelPur7906M,"(70, 136)",False,CTRL,DC
37,YelPur7906M,"(15, 81)",True,CTRL,DC
38,WhiWhi2526M,"(290, 353)",False,CTRL,DC
39,WhiWhi2526M,"(18, 82)",True,CTRL,DC
40,RedGra7912M,"(523, 589)",False,CTRL,DC
41,RedGra7912M,"(14, 80)",True,CTRL,DC
42,GreBlu5039F,"(34, 122)",False,NCM,SO
43,GreBlu5039F,"(4, 92)",True,NCM,SO
44,GreBla3404M,"(121, 209)",False,NCM,SO
45,GreBla3404M,"(31, 119)",True,NCM,SO
46,GraWhi4040F,"(57, 145)",False,NCM,SO
47,GraWhi4040F,"(31, 119)",True,NCM,SO
48,BlaGre1349M,"(125, 213)",False,NCM,SO
49,BlaGre1349M,"(0, 88)",True,NCM,SO
50,XXXHpi0038M,"(337, 424)",False,NCM,SO
51,XXXHpi0038M,"(21, 105)",True,NCM,SO
52,XXXOra0037F,"(44, 132)",False,NCM,SO
53,XXXOra0037F,"(51, 139)",True,NCM,SO
54,XXXBlu0031M,"(66, 143)",False,NCM,SO
55,XXXBlu0031M,"(15, 92)",True,NCM,SO
56,HpiGre0651M,"(34, 122)",False,NCM,SO
57,HpiGre0651M,"(10, 98)",True,NCM,SO
58,RedHpi0710F,"(11, 88)",False,NCM,SO
59,RedHpi0710F,"(9, 86)",True,NCM,SO
60,WhiBlu5805F,"(30, 118)",False,NCM,SO
61,WhiBlu5805F,"(9, 97)",True,NCM,SO
62,BluWhi0398F,"(102, 190)",False,HVC,SO
63,BluWhi0398F,"(9, 97)",True,HVC,SO
64,BluWhi3230M,"(152, 240)",False,HVC,SO
65,BluWhi3230M,"(6, 94)",True,HVC,SO
66,GraYel7337F,"(161, 249)",False,HVC,SO
67,GraYel7337F,"(3, 91)",True,HVC,SO
68,GreWhi2703M,"(361, 419)",False,HVC,SO
69,GreWhi2703M,"(15, 72)",True,HVC,SO
70,HpiGre8613M,"(29, 117)",False,HVC,SO
71,HpiGre8613M,"(8, 96)",True,HVC,SO
72,BluGre4315M,"(365, 453)",False,HVC,SO
73,BluGre4315M,"(4, 92)",True,HVC,SO
74,BluRed8773M,"(218, 304)",False,HVC,SO
75,BluRed8773M,"(16, 103)",True,HVC,SO
76,BluYel2571F,"(455, 538)",False,CTRL,SO
77,BluYel2571F,"(19, 107)",True,CTRL,SO
78,YelPur7906M,"(66, 154)",False,CTRL,SO
79,YelPur7906M,"(12, 100)",True,CTRL,SO
80,WhiWhi2526M,"(255, 324)",False,CTRL,SO
81,WhiWhi2526M,"(12, 80)",True,CTRL,SO
82,RedGra7912M,"(649, 734)",False,CTRL,SO
83,RedGra7912M,"(22, 110)",True,CTRL,SO
