,Subject,Counts,Rewarded,Treatment,CallType
0,GreBlu5039F,"(88, 154)",False,NCM,DC
1,GreBlu5039F,"(39, 105)",True,NCM,DC
2,GreBla3404M,"(106, 172)",False,NCM,DC
3,GreBla3404M,"(90, 156)",True,NCM,DC
4,GraWhi4040F,"(121, 187)",False,NCM,DC
5,GraWhi4040F,"(130, 196)",True,NCM,DC
6,BlaGre1349M,"(114, 180)",False,NCM,DC
7,BlaGre1349M,"(66, 132)",True,NCM,DC
8,XXXHpi0038M,"(849, 913)",False,NCM,DC
9,XXXHpi0038M,"(252, 308)",True,NCM,DC
10,XXXOra0037F,"(150, 216)",False,NCM,DC
11,XXXOra0037F,"(74, 140)",True,NCM,DC
12,XXXBlu0031M,"(33, 99)",False,NCM,DC
13,XXXBlu0031M,"(30, 96)",True,NCM,DC
14,HpiGre0651M,"(67, 133)",False,NCM,DC
15,HpiGre0651M,"(64, 130)",True,NCM,DC
16,RedHpi0710F,"(43, 109)",False,NCM,DC
17,RedHpi0710F,"(17, 83)",True,NCM,DC
18,WhiBlu5805F,"(75, 141)",False,NCM,DC
19,WhiBlu5805F,"(63, 129)",True,NCM,DC
20,BluWhi0398F,"(213, 279)",False,HVC,DC
21,BluWhi0398F,"(155, 221)",True,HVC,DC
22,BluWhi3230M,"(148, 214)",False,HVC,DC
23,BluWhi3230M,"(119, 185)",True,HVC,DC
24,GraYel7337F,"(163, 229)",False,HVC,DC
25,GraYel7337F,"(79, 145)",True,HVC,DC
26,GreWhi2703M,"(278, 344)",False,HVC,DC
27,GreWhi2703M,"(91, 157)",True,HVC,DC
28,HpiGre8613M,"(62, 128)",False,HVC,DC
29,HpiGre8613M,"(32, 98)",True,HVC,DC
30,BluGre4315M,"(416, 482)",False,HVC,DC
31,BluGre4315M,"(125, 191)",True,HVC,DC
32,BluRed8773M,"(120, 186)",False,HVC,DC
33,BluRed8773M,"(35, 101)",True,HVC,DC
34,BluYel2571F,"(283, 349)",False,CTRL,DC
35,BluYel2571F,"(125, 191)",True,CTRL,DC
36,YelPur7906M,"(92, 158)",False,CTRL,DC
37,YelPur7906M,"(49, 115)",True,CTRL,DC
38,WhiWhi2526M,"(304, 370)",False,CTRL,DC
39,WhiWhi2526M,"(159, 222)",True,CTRL,DC
40,RedGra7912M,"(638, 704)",False,CTRL,DC
41,RedGra7912M,"(287, 353)",True,CTRL,DC
42,GreBlu5039F,"(89, 177)",False,NCM,SO
43,GreBlu5039F,"(28, 116)",True,NCM,SO
44,GreBla3404M,"(131, 219)",False,NCM,SO
45,GreBla3404M,"(49, 137)",True,NCM,SO
46,GraWhi4040F,"(72, 160)",False,NCM,SO
47,GraWhi4040F,"(50, 138)",True,NCM,SO
48,BlaGre1349M,"(76, 164)",False,NCM,SO
49,BlaGre1349M,"(19, 107)",True,NCM,SO
50,XXXHpi0038M,"(201, 289)",False,NCM,SO
51,XXXHpi0038M,"(83, 171)",True,NCM,SO
52,XXXOra0037F,"(48, 136)",False,NCM,SO
53,XXXOra0037F,"(46, 134)",True,NCM,SO
54,XXXBlu0031M,"(35, 123)",False,NCM,SO
55,XXXBlu0031M,"(10, 98)",True,NCM,SO
56,HpiGre0651M,"(25, 113)",False,NCM,SO
57,HpiGre0651M,"(14, 102)",True,NCM,SO
58,RedHpi0710F,"(43, 131)",False,NCM,SO
59,RedHpi0710F,"(19, 107)",True,NCM,SO
60,WhiBlu5805F,"(41, 129)",False,NCM,SO
61,WhiBlu5805F,"(12, 100)",True,NCM,SO
62,BluWhi0398F,"(93, 181)",False,HVC,SO
63,BluWhi0398F,"(43, 131)",True,HVC,SO
64,BluWhi3230M,"(104, 192)",False,HVC,SO
65,BluWhi3230M,"(33, 121)",True,HVC,SO
66,GraYel7337F,"(37, 125)",False,HVC,SO
67,GraYel7337F,"(14, 102)",True,HVC,SO
68,GreWhi2703M,"(190, 278)",False,HVC,SO
69,GreWhi2703M,"(41, 129)",True,HVC,SO
70,HpiGre8613M,"(41, 129)",False,HVC,SO
71,HpiGre8613M,"(23, 111)",True,HVC,SO
72,BluGre4315M,"(122, 210)",False,HVC,SO
73,BluGre4315M,"(26, 114)",True,HVC,SO
74,BluRed8773M,"(106, 194)",False,HVC,SO
75,BluRed8773M,"(35, 123)",True,HVC,SO
76,BluYel2571F,"(208, 296)",False,CTRL,SO
77,BluYel2571F,"(35, 123)",True,CTRL,SO
78,YelPur7906M,"(89, 177)",False,CTRL,SO
79,YelPur7906M,"(24, 112)",True,CTRL,SO
80,WhiWhi2526M,"(86, 174)",False,CTRL,SO
81,WhiWhi2526M,"(43, 129)",True,CTRL,SO
82,RedGra7912M,"(314, 402)",False,CTRL,SO
83,RedGra7912M,"(76, 164)",True,CTRL,SO
