,Subject,Counts,Rewarded,Treatment,CallType,k
0,GreBlu5039F,"(11, 19)",False,NCM,SO,0
1,GreBlu5039F,"(10, 18)",True,NCM,SO,0
2,GreBla3404M,"(5, 13)",False,NCM,SO,0
3,GreBla3404M,"(7, 15)",True,NCM,SO,0
4,GraWhi4040F,"(1, 9)",False,NCM,SO,0
5,GraWhi4040F,"(10, 18)",True,NCM,SO,0
6,BlaGre1349M,"(1, 9)",False,NCM,SO,0
7,BlaGre1349M,"(1, 9)",True,NCM,SO,0
8,XXXHpi0038M,"(7, 15)",False,NCM,SO,0
9,XXXHpi0038M,"(13, 21)",True,NCM,SO,0
10,XXXOra0037F,"(3, 11)",False,NCM,SO,0
11,XXXOra0037F,"(8, 16)",True,NCM,SO,0
12,XXXBlu0031M,"(0, 8)",False,NCM,SO,0
13,XXXBlu0031M,"(4, 12)",True,NCM,SO,0
14,HpiGre0651M,"(1, 9)",False,NCM,SO,0
15,HpiGre0651M,"(4, 12)",True,NCM,SO,0
16,RedHpi0710F,"(3, 11)",False,NCM,SO,0
17,RedHpi0710F,"(1, 9)",True,NCM,SO,0
18,WhiBlu5805F,"(4, 12)",False,NCM,SO,0
19,WhiBlu5805F,"(2, 10)",True,NCM,SO,0
20,GreBlu5039F,"(10, 18)",False,NCM,SO,1
21,GreBlu5039F,"(2, 10)",True,NCM,SO,1
22,GreBla3404M,"(5, 13)",False,NCM,SO,1
23,GreBla3404M,"(2, 10)",True,NCM,SO,1
24,GraWhi4040F,"(2, 10)",False,NCM,SO,1
25,GraWhi4040F,"(7, 15)",True,NCM,SO,1
26,BlaGre1349M,"(9, 17)",False,NCM,SO,1
27,BlaGre1349M,"(3, 11)",True,NCM,SO,1
28,XXXHpi0038M,"(21, 29)",False,NCM,SO,1
29,XXXHpi0038M,"(8, 16)",True,NCM,SO,1
30,XXXOra0037F,"(10, 18)",False,NCM,SO,1
31,XXXOra0037F,"(4, 12)",True,NCM,SO,1
32,XXXBlu0031M,"(1, 9)",False,NCM,SO,1
33,XXXBlu0031M,"(2, 10)",True,NCM,SO,1
34,HpiGre0651M,"(1, 9)",False,NCM,SO,1
35,HpiGre0651M,"(0, 8)",True,NCM,SO,1
36,RedHpi0710F,"(9, 17)",False,NCM,SO,1
37,RedHpi0710F,"(1, 9)",True,NCM,SO,1
38,WhiBlu5805F,"(4, 12)",False,NCM,SO,1
39,WhiBlu5805F,"(0, 8)",True,NCM,SO,1
40,GreBlu5039F,"(5, 13)",False,NCM,SO,2
41,GreBlu5039F,"(6, 14)",True,NCM,SO,2
42,GreBla3404M,"(10, 18)",False,NCM,SO,2
43,GreBla3404M,"(8, 16)",True,NCM,SO,2
44,GraWhi4040F,"(7, 15)",False,NCM,SO,2
45,GraWhi4040F,"(6, 14)",True,NCM,SO,2
46,BlaGre1349M,"(12, 20)",False,NCM,SO,2
47,BlaGre1349M,"(2, 10)",True,NCM,SO,2
48,XXXHpi0038M,"(15, 23)",False,NCM,SO,2
49,XXXHpi0038M,"(7, 15)",True,NCM,SO,2
50,XXXOra0037F,"(2, 10)",False,NCM,SO,2
51,XXXOra0037F,"(1, 9)",True,NCM,SO,2
52,XXXBlu0031M,"(4, 12)",False,NCM,SO,2
53,XXXBlu0031M,"(1, 9)",True,NCM,SO,2
54,HpiGre0651M,"(1, 9)",False,NCM,SO,2
55,HpiGre0651M,"(4, 12)",True,NCM,SO,2
56,RedHpi0710F,"(2, 10)",False,NCM,SO,2
57,RedHpi0710F,"(7, 15)",True,NCM,SO,2
58,WhiBlu5805F,"(5, 13)",False,NCM,SO,2
59,WhiBlu5805F,"(1, 9)",True,NCM,SO,2
60,GreBlu5039F,"(7, 15)",False,NCM,SO,3
61,GreBlu5039F,"(2, 10)",True,NCM,SO,3
62,GreBla3404M,"(4, 12)",False,NCM,SO,3
63,GreBla3404M,"(5, 13)",True,NCM,SO,3
64,GraWhi4040F,"(3, 11)",False,NCM,SO,3
65,GraWhi4040F,"(7, 15)",True,NCM,SO,3
66,BlaGre1349M,"(5, 13)",False,NCM,SO,3
67,BlaGre1349M,"(0, 8)",True,NCM,SO,3
68,XXXHpi0038M,"(14, 22)",False,NCM,SO,3
69,XXXHpi0038M,"(9, 17)",True,NCM,SO,3
70,XXXOra0037F,"(2, 10)",False,NCM,SO,3
71,XXXOra0037F,"(4, 12)",True,NCM,SO,3
72,XXXBlu0031M,"(0, 8)",False,NCM,SO,3
